RightArm,LeftArm,Torso,Mouth
217,496,360,1809
218,497,362,1437
218,497,362,1293
217,496,361,1382
217,496,361,602
217,497,362,602
217,497,362,0
217,496,362,1493
217,496,362,1532
218,497,363,1979
218,497,363,1677
217,496,362,2400
217,496,362,2987
218,497,368,2426
218,497,368,1615
217,496,381,1365
217,496,381,1722
217,497,399,1722
217,497,399,1706
217,496,419,777
217,496,419,1648
217,497,438,3049
217,497,438,4090
217,496,456,4090
217,496,456,4090
217,497,472,4090
217,497,472,3364
217,496,480,1908
217,496,480,1970
217,496,480,2446
217,497,480,2417
217,496,480,2588
217,496,480,2136
217,496,480,1765
217,496,480,1857
217,496,480,1857
218,496,480,2662
218,496,480,3758
218,496,480,3393
218,496,480,2898
217,496,480,2210
217,496,480,2979
217,496,480,3266
217,496,480,3109
217,496,480,3109
217,496,480,2489
217,496,480,2121
217,496,480,844
217,497,480,1272
217,497,480,1747
217,496,480,1645
217,496,480,1524
217,497,480,929
217,497,480,929
217,496,480,1081
217,496,480,1368
217,497,480,1123
217,497,480,1043
217,496,467,1219
217,496,467,1570
217,497,444,2143
217,497,444,669
217,496,420,0
217,496,420,2015
217,497,399,2295
217,497,399,2367
217,496,379,2422
217,496,379,2565
218,497,363,2509
218,497,363,2212
217,496,348,1494
217,496,348,1593
217,497,336,1878
217,497,336,1878
217,496,325,2086
217,496,325,2828
217,497,315,3453
217,497,315,3583
217,496,307,3033
217,496,307,2834
217,496,296,2011
217,496,296,1616
217,496,284,1616
217,496,284,1290
217,496,273,1310
217,496,273,1475
217,496,266,1565
217,496,266,1525
217,496,262,1258
217,496,262,1129
217,496,262,0
217,496,262,791
217,496,262,1391
217,496,262,1391
218,496,267,1335
218,496,267,1419
217,496,273,1528
217,496,273,1839
217,497,289,1976
217,497,289,1508
217,496,310,1970
217,496,310,1820
218,497,331,1710
218,497,331,1817
218,496,348,321
218,496,348,900
218,497,358,2247
218,497,358,2592
217,496,358,2166
217,496,358,1694
217,497,350,1236
217,497,350,1324
217,496,334,1421
217,496,334,1397
218,497,317,1516
218,497,317,1590
217,496,304,1590
217,496,304,1815
217,497,299,0
217,497,299,0
217,496,299,2137
217,496,299,2045
217,497,300,1991
217,497,300,1789
217,496,309,1662
217,496,309,1662
218,497,326,1589
218,497,326,1492
217,496,345,1824
217,496,345,2309
218,497,367,2314
218,497,367,2018
217,496,386,1315
217,496,386,1487
217,497,402,1752
217,497,402,1752
217,496,412,1604
217,496,412,1351
217,496,412,1187
217,496,412,1131
217,496,406,1363
217,496,406,1762
217,496,393,1438
217,496,393,1105
218,497,373,1645
218,497,373,1929
217,496,352,336
217,496,352,336
218,497,341,873
218,497,341,1897
217,496,338,2285
217,496,338,2940
218,497,338,2400
218,497,338,2188
217,496,343,1998
217,496,343,1855
217,497,355,1855
217,497,355,2071
217,496,367,1621
217,496,367,1691
217,496,367,1958
217,497,373,2181
217,497,373,1753
217,496,371,1718
217,496,371,1685
217,497,370,1631
217,497,370,1631
218,496,367,1839
218,496,367,1805
218,497,367,1581
218,497,367,1486
217,496,367,1484
217,496,367,1564
217,496,367,2308
217,496,367,2308
217,496,367,2556
217,496,367,1648
217,496,368,993
217,496,368,382
